Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,other_beetles,per_cobble,-0.1396,0.3876,-0.7291,-0.1575,0.5202,0.9997,1215
Occupancy,crayfish,per_cobble,0.1714,0.4384,-0.5211,0.1681,0.8663,1.0011,1646
Occupancy,dragonfly_nymphs,per_cobble,0.3347,0.4504,-0.3365,0.3144,1.0922,1.0064,1142
Occupancy,riffle_beetles,per_cobble,0.2125,0.2974,-0.2657,0.2033,0.7375,1.008,1500
Occupancy,midges,per_cobble,0.0785,0.4458,-0.5777,0.0561,0.8276,1.0011,1500
Occupancy,snails,per_cobble,0.0514,0.5022,-0.7383,0.0492,0.879,1.0038,1500
Occupancy,clams,per_cobble,-0.1381,0.5512,-1.0403,-0.1187,0.7545,1.0017,1122
Occupancy,fishfly_larvae,per_cobble,0.1652,0.4923,-0.5932,0.1397,0.9567,1.0049,1500
Occupancy,water_penny_beetles,per_cobble,0.4624,0.4104,-0.1745,0.4281,1.1848,1.0013,1066
Occupancy,cranefly_larvae,per_cobble,0.3415,0.5184,-0.4206,0.2996,1.2711,1.0015,1182
Occupancy,baetidae,per_cobble,-0.1427,0.384,-0.7305,-0.16,0.505,1.0088,1500
Occupancy,caenidae,per_cobble,-0.1628,0.5749,-1.1136,-0.1413,0.6879,1.0384,776
Occupancy,heptageniidae,per_cobble,0.0236,0.513,-0.8109,0.017,0.8492,1.0105,1198
Occupancy,leptophlebiidae,per_cobble,0.3114,0.4311,-0.3303,0.2824,1.0141,1.0029,1195
Occupancy,chloroperlidae,per_cobble,0.3415,0.556,-0.5146,0.2951,1.275,1.014,1309
Occupancy,leuctridae,per_cobble,0.2978,0.3549,-0.2523,0.2809,0.9035,1.0268,1500
Occupancy,nemouridae,per_cobble,0.1994,0.4692,-0.5464,0.1839,0.9903,1.0178,1500
Occupancy,perlidae,per_cobble,0.0017,0.4655,-0.7555,0.011,0.7315,1.016,1381
Occupancy,perlodidae,per_cobble,0.0321,0.5329,-0.8611,0.0331,0.9101,1.0039,1033
Occupancy,glossosomatidae,per_cobble,0.2375,0.532,-0.59,0.2049,1.1676,1.0254,1057
Occupancy,hydropsychidae,per_cobble,0.1684,0.3988,-0.4536,0.1598,0.8061,1.0063,1500
Occupancy,hydroptilidae,per_cobble,-0.0392,0.4995,-0.8553,-0.0437,0.7538,1.0208,874
Occupancy,lepidostomatidae,per_cobble,0.0792,0.3023,-0.4157,0.0847,0.5707,1.0173,1153
