Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,heptageniidae,pool_depth_.cm.,0.209,0.4591,-0.4301,0.1725,0.9531,1.002,1346
Occupancy,leptohyphidae,pool_depth_.cm.,0.1669,0.8747,-1.1849,0.1196,1.7236,1.0025,1318
Occupancy,leptophlebiidae,pool_depth_.cm.,-1.2869,0.4907,-2.1511,-1.2386,-0.5862,1.0083,1177
Occupancy,chloroperlidae,pool_depth_.cm.,-0.0488,1.0446,-1.7113,-0.0803,1.7624,1.0453,923
Occupancy,leuctridae,pool_depth_.cm.,-0.5757,0.5304,-1.4008,-0.5842,0.2538,1.0057,1500
Occupancy,nemouridae,pool_depth_.cm.,-0.6388,0.646,-1.5643,-0.6963,0.4991,1.0076,1077
Occupancy,perlidae,pool_depth_.cm.,-0.0146,0.8615,-1.3474,-0.0572,1.4471,1.0124,1177
Occupancy,perlodidae,pool_depth_.cm.,-0.5295,0.9948,-2.1392,-0.5663,1.1339,1.0046,1078
Occupancy,glossosomatidae,pool_depth_.cm.,-0.3934,1.0768,-2.0963,-0.398,1.298,1.0223,812
Occupancy,hydropsychidae,pool_depth_.cm.,0.6644,0.6484,-0.2372,0.5582,1.8447,1.0119,1001
Occupancy,hydroptilidae,pool_depth_.cm.,0.7416,0.7712,-0.4978,0.7135,1.9686,1.0058,931
Occupancy,lepidostomatidae,pool_depth_.cm.,-0.9446,0.4948,-1.7482,-0.926,-0.1841,0.9998,1379
Occupancy,limnephilidae,pool_depth_.cm.,-0.3532,0.5452,-1.124,-0.3661,0.4574,1.0181,1157
Occupancy,molannidae,pool_depth_.cm.,-0.4983,1.1195,-2.3249,-0.4642,1.2654,1.0116,835
Occupancy,odontoceridae,pool_depth_.cm.,-1.3171,0.8312,-2.7085,-1.2467,-0.0473,1.0016,893
Occupancy,philopotamidae,pool_depth_.cm.,-0.6769,0.5743,-1.6386,-0.6605,0.1988,0.9997,1500
Occupancy,phryganeidae,pool_depth_.cm.,-0.096,1.0003,-1.7541,-0.1223,1.4729,1.0071,958
Occupancy,polycentropodidae,pool_depth_.cm.,0.2877,0.4337,-0.3717,0.2545,1.0141,1.0034,1147
Occupancy,rhyacophilidae,pool_depth_.cm.,-1.2531,0.6998,-2.4533,-1.2179,-0.2383,1.0026,1196
Occupancy,uenoidae,pool_depth_.cm.,-0.3344,0.5383,-1.1183,-0.3749,0.5712,0.9995,1394
Occupancy,midges,per_sand,0.372,0.3817,-0.2168,0.3513,1.0047,1.0042,1500
Occupancy,mole,per_sand,0.4485,0.544,-0.3987,0.4324,1.3544,1.0131,1500
Occupancy,johnny_darter,per_sand,0.4433,0.5249,-0.3954,0.4332,1.2925,1.0007,1736
Occupancy,mtdusky,per_sand,-0.0664,0.4776,-0.8503,-0.0603,0.7253,1.0164,1500
Occupancy,nodusky,per_sand,0.4236,0.3966,-0.1846,0.4011,1.1043,1.0112,1500
Occupancy,twolined,per_sand,0.3601,0.2559,-0.0525,0.352,0.7725,0.9995,1233
Occupancy,longtail,per_sand,0.612,0.4496,-0.0868,0.5941,1.3849,0.9996,1330
Occupancy,red,per_sand,0.6783,0.3799,0.068,0.6699,1.3354,1.0029,1500
Occupancy,redback,per_sand,0.5124,0.4183,-0.1627,0.5069,1.2045,1.0136,1500
Occupancy,slimy,per_sand,0.2101,0.4583,-0.5548,0.2268,0.9457,1.0038,1288
Occupancy,blacknose_dace,per_sand,0.0632,0.5079,-0.7648,0.073,0.8524,1.0023,1251
Occupancy,central_stoneroller_minnow,per_sand,0.3879,0.5345,-0.4503,0.3863,1.244,1.0018,1375
Occupancy,common_shiner,per_sand,0.3419,0.546,-0.5503,0.3319,1.1936,1.0155,1337
Occupancy,creek_chub,per_sand,0.3844,0.3908,-0.2375,0.3781,1.0597,1.006,1500
Occupancy,rainbow_darter,per_sand,0.4543,0.5371,-0.4261,0.443,1.3077,1.0065,1500
Occupancy,rainbow_trout,per_sand,0.4008,0.5372,-0.4802,0.399,1.2765,1.0183,1500
Occupancy,white_sucker,per_sand,0.192,0.5252,-0.6744,0.2029,1.0055,1.0131,1341
Occupancy,yellow_bullhead_catfish,per_sand,0.2974,0.5215,-0.5609,0.3097,1.1387,1.0081,1500
Occupancy,sessile_animals,per_sand,0.2321,0.5079,-0.585,0.2293,1.0648,1.006,1500
Occupancy,aquatic_worms,per_sand,0.3488,0.3775,-0.2143,0.319,0.9819,1.0024,1500
Occupancy,sow_bugs,per_sand,-0.6141,0.4827,-1.4706,-0.5748,0.0895,1.0037,1254
Occupancy,scuds,per_sand,-0.5817,0.4276,-1.2922,-0.5739,0.1152,1.0062,939
Occupancy,water_mites,per_sand,0.2303,0.4748,-0.501,0.2223,1.0192,1.0049,1342
Occupancy,damselfly_nymphs,per_sand,0.3299,0.3341,-0.2061,0.3291,0.9037,1.0102,1500
Occupancy,alderfly_larvae,per_sand,0.409,0.4202,-0.2769,0.4089,1.0985,1.0014,1500
Occupancy,other_beetles,per_sand,0.3925,0.4812,-0.354,0.3617,1.2078,1.015,1500
Occupancy,crayfish,per_sand,0.6636,0.3455,0.1379,0.6449,1.2414,1.0024,1500
Occupancy,dragonfly_nymphs,per_sand,0.6681,0.458,-0.0612,0.6473,1.4342,1.0038,1335
Occupancy,riffle_beetles,per_sand,0.3927,0.2902,-0.0725,0.3868,0.8806,1.0055,1420
Occupancy,other_flies,per_sand,0.5012,0.3772,-0.1009,0.4863,1.1383,1.009,1500
Occupancy,snails,per_sand,-0.1358,0.3358,-0.7236,-0.1195,0.4045,1.0097,1231
Occupancy,clams,per_sand,0.3675,0.3899,-0.2219,0.345,1.0252,0.9996,1374
Occupancy,fishfly_larvae,per_sand,1.0479,0.4199,0.4228,1.0178,1.784,1,1500
Occupancy,water_penny_beetles,per_sand,0.1387,0.4016,-0.538,0.152,0.7582,1.0023,1500
Occupancy,cranefly_larvae,per_sand,0.6126,0.4161,-0.024,0.5864,1.3316,1.0008,1500
Occupancy,ameletidae,per_sand,0.4355,0.358,-0.0874,0.4039,1.0389,0.9996,1330
Occupancy,baetidae,per_sand,0.4213,0.434,-0.214,0.3911,1.1842,1.0064,1425
Occupancy,caenidae,per_sand,0.2917,0.5067,-0.5064,0.2792,1.1277,1.0068,1500
Occupancy,ephemeridae,per_sand,0.2379,0.5465,-0.7001,0.2423,1.1136,1.0017,1078
Occupancy,heptageniidae,per_sand,0.7769,0.4218,0.1958,0.7292,1.4971,1.0157,1500
Occupancy,leptohyphidae,per_sand,0.4654,0.5076,-0.3402,0.4609,1.3032,1.0024,1500
Occupancy,leptophlebiidae,per_sand,0.4794,0.4801,-0.3075,0.4764,1.2791,1.0032,1377
Occupancy,chloroperlidae,per_sand,0.1729,0.5059,-0.6311,0.1722,0.9829,1.0041,1187
Occupancy,leuctridae,per_sand,0.5351,0.4527,-0.1647,0.5182,1.3016,1.0059,1500
Occupancy,nemouridae,per_sand,0.8387,0.4676,0.1113,0.8146,1.659,1.0043,1085
Occupancy,perlidae,per_sand,0.4274,0.4979,-0.3848,0.4275,1.2431,1.0083,1515
Occupancy,perlodidae,per_sand,0.5893,0.5293,-0.192,0.5514,1.5122,1.0077,1323
Occupancy,glossosomatidae,per_sand,0.5002,0.527,-0.3077,0.4782,1.3433,1.0002,1036
Occupancy,hydropsychidae,per_sand,0.6104,0.4189,-0.0404,0.5814,1.3495,0.9995,1237
Occupancy,hydroptilidae,per_sand,0.0596,0.5015,-0.7737,0.0685,0.8636,1.0038,1289
Occupancy,lepidostomatidae,per_sand,0.6309,0.3796,0.0039,0.6255,1.2533,1.004,1500
Occupancy,limnephilidae,per_sand,0.7714,0.3718,0.1807,0.773,1.3608,1.0038,1500
Occupancy,molannidae,per_sand,0.5753,0.5165,-0.2515,0.5528,1.4671,1.0033,1500
Occupancy,odontoceridae,per_sand,0.4714,0.4534,-0.2462,0.4629,1.2079,1.0036,1500
Occupancy,philopotamidae,per_sand,0.1329,0.4284,-0.5516,0.1332,0.8111,1.0053,1500
Occupancy,phryganeidae,per_sand,0.5937,0.5154,-0.2194,0.5824,1.4209,0.9995,1321
Occupancy,polycentropodidae,per_sand,-0.1157,0.3511,-0.6956,-0.0962,0.426,1.0006,1500
Occupancy,rhyacophilidae,per_sand,0.4253,0.4529,-0.3064,0.4124,1.1531,1.0051,1368
Occupancy,uenoidae,per_sand,0.7489,0.3831,0.1786,0.7319,1.3961,1.0264,1500
Occupancy,midges,per_cobble,0.6115,0.3578,0.026,0.6077,1.2028,1.0003,1210
Occupancy,mole,per_cobble,0.5504,0.4337,-0.2006,0.5605,1.2494,1.0089,1500
Occupancy,johnny_darter,per_cobble,0.5854,0.4387,-0.1139,0.5919,1.2581,1.003,1137
Occupancy,mtdusky,per_cobble,0.6444,0.4095,-0.0106,0.6247,1.3424,1.003,1139
Occupancy,nodusky,per_cobble,0.6665,0.3467,0.1388,0.6507,1.2574,1.0094,1500
Occupancy,twolined,per_cobble,1.3451,0.3608,0.8205,1.3166,1.978,1.0016,1164
